channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-50715.41526501361,-54651.89273976001,-14934.42981653569,-49273.77245113521,-71593.24098744882,-69549.39747445553,-81148.6564455815,-62387.83149574179,1507440105.364665,stop
-49855.63306279577,-53222.275164398576,-15657.911081065069,-49006.78086361657,-71886.1158950467,-69686.52542668885,-81509.48065632352,-63942.21650865275,1507440105.364841,stop
-49087.64947505587,-52145.63633747534,-15898.751127571004,-48762.476296720066,-72091.05903995741,-69697.76835414987,-81644.41813760021,-64772.98614656761,1507440105.365026,stop
-49691.9288864051,-53145.11694253885,-15370.579406092098,-48935.61290927087,-71881.8690636002,-69574.1185038231,-81365.24484935342,-63643.21722307411,1507440105.365203,stop
-50685.665093143594,-54634.436027340416,-14888.854609591319,-49257.54508466066,-71601.44407766391,-69538.78039583926,-81131.78087851773,-62345.74316093245,1507440105.365376,stop
-50056.977576849175,-53535.35604898406,-15529.008570791313,-49063.44253581078,-71830.43769960853,-69671.32624045924,-81448.46039396053,-63634.09771133635,1507440105.3655481,stop
-49120.77476033864,-52178.940436713754,-15914.978494045556,-48768.64537818973,-72093.56243533641,-69712.83342991275,-81657.53861159548,-64777.14357103629,1507440105.3657339,stop
-49494.09359623118,-52834.9194329881,-15495.995044230825,-48866.32250145942,-71947.985523699,-69598.19133260148,-81431.98715829696,-63943.66937204235,1507440105.365914,stop
-50591.56424898675,-54514.608325315516,-14882.372603699281,-49215.45674985132,-71622.655883152,-69527.47041314488,-81129.21042790537,-62396.59337956827,1507440105.366088,stop
-50247.70501228631,-53842.73723873344,-15381.978795764304,-49112.45991140127,-71768.85864363416,-69646.15817620256,-81375.32548610277,-63306.10821319917,1507440105.366261,stop
-49193.820261218585,-52272.884818659404,-15905.993092774523,-48784.44806151964,-72080.95605146361,-69720.16480209408,-81654.58818132737,-64718.69375928566,1507440105.3664541,stop
-49319.61587901305,-52562.406964589,-15609.653664786061,-48807.068026908404,-72008.73756512851,-69625.88514398159,-81497.1871968731,-64215.488936363334,1507440105.366654,stop
-50447.015517594285,-54309.620476915894,-14925.71263619812,-49162.17019106987,-71668.78988370775,-69530.28673294625,-81155.0043410068,-62549.47931164257,1507440105.366956,stop
-50419.16524400297,-54128.19136717217,-15237.094788205004,-49160.96319686928,-71719.86361978813,-69627.00273120437,-81310.10309578218,-62997.18475308237,1507440105.367158,stop
-49306.69657071788,-52429.123512402,-15873.180731914132,-48813.75119850054,-72058.29138258593,-69724.63515098514,-81640.68539627617,-64601.25769391748,1507440105.367352,stop
-49185.907743681404,-52349.88657830794,-15705.520296754874,-48759.79408738543,-72057.19614710762,-69650.02502799332,-81551.47958415504,-64436.055950648304,1507440105.367532,stop
-50263.93237876087,-54038.516168417475,-15003.764927836053,-49094.690274559296,-71725.54096287978,-69536.92520104948,-81195.75157114882,-62774.00258469613,1507440105.36774,stop
-50556.11438228064,-54365.85746596545,-15098.290455137547,-49194.62492401897,-71674.60133726613,-69601.11941112512,-81243.24902811635,-62716.55860144599,1507440105.3679261,stop
-49460.856552226134,-52647.388297008074,-15814.708568419048,-48854.029042009,-72021.5004112125,-69721.23768582793,-81609.92939590567,-64419.38154928465,1507440105.368154,stop
-49094.77968153712,-52199.16876544581,-15783.907864559635,-48728.09931374781,-72095.75290629303,-69675.05898178328,-81598.19473006664,-64606.3985951422,1507440105.3683531,stop
-50053.3118907585,-53718.43918781748,-15109.265161665102,-49018.403770733334,-71790.20455958898,-69548.45870118841,-81249.26164737483,-63053.28763166519,1507440105.368541,stop
-50637.92176698706,-54522.9678777418,-14983.022508981529,-49214.20505216182,-71647.77924391977,-69582.12042833811,-81193.42698972547,-62507.59214253332,1507440105.368861,stop
-49633.747295587935,-52903.47223323253,-15726.553288287318,-48900.78889140951,-71975.27700367893,-69713.54868573531,-81567.37167446276,-64185.51524704877,1507440105.3691578,stop
-49037.58156747599,-52102.60922939888,-15837.686161719104,-48706.328714648334,-72120.83156357189,-69696.71782216047,-81633.6222450283,-64722.47120409861,1507440105.369502,stop
-49821.07726586786,-53367.382689402424,-15228.578773567531,-48936.77519998255,-71860.45609241202,-69567.1224078086,-81313.85818885067,-63367.3072895178,1507440105.369712,stop
-50654.48440962844,-54583.965788360336,-14897.102403295328,-49209.73470327076,-71635.48578446935,-69562.80852112873,-81155.652541596,-62379.31548110431,1507440105.369958,stop
-49822.46307402409,-53194.00020766261,-15614.57104856623,-48953.69547053522,-71924.53854376537,-69702.97631060795,-81515.49327558199,-63908.666540225335,1507440105.370314,stop
-49032.50772148463,-52081.35272042188,-15875.28179589293,-48703.534746591424,-72138.8247178584,-69718.73429044895,-81661.0254837305,-64781.3904024828,1507440105.370524,stop
-49605.494690596424,-53035.41458075221,-15358.42005710841,-48864.48965841409,-71935.11091889274,-69593.43041103249,-81385.65199204112,-63685.77494451701,1507440105.370718,stop
-50617.29110685481,-54557.188398502876,-14856.109303964295,-49191.20510711731,-71646.8628223971,-69552.50436693482,-81140.92274199995,-62347.97833537798,1507440105.370951,stop
-50023.87464331087,-53510.724426594315,-15479.857084734092,-49008.01020956162,-71865.2617174699,-69682.72563013145,-81448.72861489399,-63590.645920115225,1507440105.371155,stop
