channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-30143.026130560178,-6860.130352989478,-58143.16816844561,-57896.471964892386,-17188.089154730937,-32571.40905516256,-19211.14554538078,-28173.032781247235,1507434602.658657,go
-30136.566476412594,-6848.552149361629,-58134.518043341406,-57894.70617708042,-17186.07749772996,-32563.094206225185,-19198.159181852243,-28157.386560128518,1507434602.658879,go
-30131.24676123223,-6923.1175688645335,-58167.5315699019,-57941.89070962557,-17305.07818521001,-32583.166072746048,-19196.214580084634,-28295.252119928853,1507434602.6590989,go
-30142.57909567107,-6941.066019662145,-58170.169075747624,-57952.01604986383,-17297.05390895056,-32591.235052494416,-19203.52360052152,-28291.65348907155,1507434602.659298,go
-30156.34777025554,-6890.864001615525,-58150.454837138044,-57924.9704390729,-17203.93654154975,-32586.764703603352,-19223.61781878684,-28191.048287278212,1507434602.6594949,go
-30149.284619007663,-6861.851437312536,-58140.97769748899,-57907.04434001975,-17178.88023601535,-32574.717113341943,-19219.438042573696,-28154.61494381606,1507434602.6596942,go
-30129.279807720162,-6919.898917662968,-58165.54226464537,-57943.70120092645,-17292.583560059495,-32582.45081692348,-19215.392376827287,-28288.501893103352,1507434602.659888,go
-30126.508191407705,-6946.922176709435,-58174.55001766086,-57956.28523305479,-17308.587409089498,-32587.479959425924,-19225.27184787653,-28313.08881200419,1507434602.660141,go
-30142.087357293054,-6904.386807010986,-58157.47328489701,-57931.38538973158,-17224.164870281802,-32584.93186055802,-19248.33884815441,-28217.91508411349,1507434602.660368,go
-30146.49065095075,-6859.839780311559,-58141.849415522745,-57910.6206191326,-17172.599395823407,-32578.606316877165,-19243.913202752257,-28168.182452700432,1507434602.660574,go
-30132.699624621826,-6910.444129758374,-58173.454782182554,-57943.455331737445,-17273.919853439314,-32585.669468125045,-19234.458414847664,-28281.41639011102,1507434602.660774,go
-30135.00185430072,-6955.840522747103,-58180.40617470815,-57965.5835587482,-17327.251115709678,-32595.705401385476,-19237.945286982693,-28330.657283146058,1507434602.660977,go
-30141.8638398485,-6912.478138503807,-58155.30516568484,-57939.23085203539,-17246.628373459385,-32591.54797691679,-19251.289278422508,-28244.088976870655,1507434602.661176,go
-30140.366272969997,-6861.069126256601,-58137.714342798514,-57911.447633677446,-17168.419619610264,-32579.701552355476,-19252.988011001115,-28164.829691032137,1507434602.661372,go
-30127.536371652648,-6898.1730220524105,-58158.09913374176,-57940.54960495825,-17254.540890996563,-32588.172863504038,-19242.37093238484,-28259.44462531145,1507434602.6615732,go
-30122.82015357258,-6950.431400588918,-58175.198218250065,-57967.25993958234,-17330.62622912243,-32592.93378507302,-19238.302914893975,-28329.629102901115,1507434602.6617541,go
-30135.02420604518,-6920.524766507718,-58164.24586346697,-57949.62441320711,-17269.002469659146,-32593.425523451035,-19264.454455906685,-28268.11710216011,1507434602.661932,go
-30140.58979041455,-6865.494771658751,-58146.31976441381,-57923.18229951648,-17188.290320431035,-32591.436218194514,-19273.842188577913,-28174.843272548114,1507434602.662107,go
-30129.458621675807,-6888.248847514254,-58160.40136342065,-57942.89653812606,-17241.487472234665,-32593.693744384498,-19250.015228988555,-28232.35431103162,1507434602.662282,go
-30127.737537352747,-6956.354612869574,-58188.3857474787,-57978.45816355445,-17342.874985083938,-32607.88710211362,-19255.066723235457,-28344.045978074788,1507434602.6624599,go
-30148.949342840835,-6949.1797028994215,-58185.8823520997,-57972.71376522944,-17297.14331592838,-32621.387555764624,-19272.702249610695,-28297.84492228567,1507434602.662637,go
-30157.107729567022,-6891.042815571167,-58163.26238671093,-57942.89653812606,-17207.736338107152,-32610.748125403898,-19281.39707820381,-28186.153255242498,1507434602.662812,go
-30143.42846196037,-6890.528725448696,-58166.19046523458,-57945.3775817606,-17235.877184376383,-32604.199064278495,-19280.301842725497,-28218.786802147246,1507434602.662988,go
-30133.839563589045,-6960.489685593807,-58192.677282414115,-57981.274483355824,-17340.90803157187,-32612.916244616063,-19272.59049088842,-28346.281152520318,1507434602.6632059,go
-30137.996988057734,-6953.538293068206,-58185.30120674387,-57969.47276228342,-17309.41442363434,-32603.126180544637,-19276.85967407938,-28302.27056768782,1507434602.6633658,go
-30145.30600849462,-6894.395577239464,-58163.01651752192,-57933.732322899385,-17216.520573678084,-32593.470226939946,-19289.44370620772,-28196.211540247386,1507434602.663525,go
-30141.103880537023,-6879.799888110148,-58166.525741401405,-57934.80520663324,-17220.58859116895,-32599.572253176244,-19293.33290974294,-28208.147371786523,1507434602.6636841,go
-30128.117517008486,-6944.776409241726,-58188.273988756424,-57970.72445997292,-17338.18111874832,-32609.98816609242,-19282.134685770834,-28334.32296923673,1507434602.663888,go
